name,place_id,city,county,address,website,phone,rating,reviews,photo_ref,heat_source,cold_plunge,dog_friendly,showers,changing_facilities,sea_view,opening_hours
Bluefin Sauna Cork,ChIJvTpgXbKDREgRwmC7CIVsXL0,Cobh,Cork,"Pier, Cuskinny, Cobh, Co. Cork, Ireland",,086 056 2269,,,ATCDNfXLyPNWUv5oITyQjtkEoI1wWYPtE7vWQUUShHvO5fqK6rwJSdM4aBkqz0-tKchJcDn93x6cwvRwo-CH7Gqc1SKmkAOu30V0WzRO1N8r4fluGS0pHGAIrQbhzd0Uji6f0b6y3xD2F9NfRl-AGvVDeKqFiLwOHn7IIUgn2OzGk36xLZYCZ4vZmJOfBYN7ZOZQEfqnTOhneppL0S06g854w3nGJ5tFRRJg_afYxLk2iJMBzpRwjmsjFRJjKadkso3wrhcd_3VDxrh4OsvWxexNEPt2yY3nGdq84euoncZx4iKcRQ,not listed,no,no,no,not listed,no,
BoscaSauna,ChIJGxtgCwCDZ0gRbbNNZ_A-NcE,Co. Kildare,Kildare,"Ballymore Eustace GAA Club, Bishopslane, Ballymore Eustace, Co. Kildare, W91 WN82, Ireland",https://boscasauna.ie/,,5.0,30,ATCDNfVo5SKq_9UMGuRq_oMGte-m1XSKxlw4eKnTSigy3StYYTGaMvwqzTEVZ_ShhXePyxrGWZRor9kejOHOzaFts3MT2TfevJlNam_ZmMERQNsDq_GGkrf-B_-gBFywn5ZFexhFEmiCPsRJYiBfblBZowA6inEARWi5zr5YUm3d53vmyYFexas6MV22AaHrPFZyd4AYZa73B4LCmatm92F36pwvKmD9aoiTJIt9zfHriGBODI65yz8TyjW3KnzTKXOGdqyrjzgIXnlA6vJ182UZ1VDGnAHxiB2_LrUuI8hXom9ISg,not listed,yes,no,no,yes,no,Monday: 12:00 – 9:00 PM|Tuesday: 12:00 – 9:00 PM|Wednesday: 12:00 – 9:00 PM|Thursday: 12:00 – 9:00 PM|Friday: 12:00 – 9:00 PM|Saturday: 9:00 AM – 9:00 PM|Sunday: 9:00 AM – 9:00 PM
Brandon Bay Sauna,ChIJV9J4fAOtWkgR6PzLRm8tJ6M,Co. Kerry,Kerry,"Fahamore Maharees, Fahamore, Castlegregory, Co. Kerry, V92 A3Y6, Ireland",https://www.brandonbaysauna.com/,,5.0,36,ATCDNfV2vjZq6wpmzCgLUQ-HHt4c0C9efTXNDJqnqljilLJHxeLn1BLZfW5XCgAwipgvWAHS9llTFIwvHBExC0QUmib1b1jlzQNJKkBdo0tlIR4P0vOyCHK3SFuDFKeVHsXlxV0WS6pxOmYrfV2QyLewCAlF39k1ivDq_Wd-6L3aq3iIFGZLqonBUq20XqZKf9pHgfrmCG3FIM2_pgkXwKYkkFR6y7kWyEN9avH7hu3VdneNFiylbgUDkw8ZiCFobV-F504mP_pDwusfIMSIsv58ifDCGie9tWFuhtQXoqvCtS8oXA,wood,yes,no,yes,not listed,yes,Monday: 4:30 – 9:00 PM|Tuesday: 4:30 – 9:00 PM|Wednesday: 4:30 – 9:00 PM|Thursday: 4:30 – 9:00 PM|Friday: 4:30 – 9:00 PM|Saturday: 10:00 AM – 6:00 PM|Sunday: 10:00 AM – 6:00 PM
Bunmahon Sauna & Seaweed Baths,ChIJ86kZAgDfQkgRt5QyeQhDsR8,Templeverick,Waterford,"Templeyvrick, Templeverick, Co. Waterford, Ireland",,087 638 6829,3.5,2,ATCDNfV65x12IkVmdaxpfUnudT4V3dyHd_MargtpO3RN66_IHwsNND-1hMuyjqQima3bQ7-dB7ghG8ioQ9seQlQNREHezCRNzze_UQ4kjjIlKUxwOLVfNrZNXkP1UQfevV4dOea6WFOaxYm7BEzlTcdx-WBwHSEdFRYIDzy96xgKDcm4hphLRQe1dp7ChD0om1rLKdtI48QGkzernvfE3otkN6imavW4_-Oq-UuEwhfmtCfGvlbtAMNI6HPL6qomOYeoRuNpeU3RHl2bFowQPgbRfJax029aQS3fYv5eWtC_GNdz9SowQi2ALxckVkniRR-bjUgMm2afO5OKU00LCJg16wb83_DnpatgtIexyWUpmkhluFAqfbneE_Bfi6PqRBjRRI-d_5vLDfNXFw5RGTbxaqHimtM3iit41zn7Oq_J6EVxo-KQZZaLTR7FGT6JZR8K,not listed,no,no,yes,not listed,yes,
Béal Geal Sauna & Coffee (Splashsports),ChIJYyUPdc2tWkgRNr1LiuHwAGk,Castlegregory,Kerry,"Magherabeg, Castlegregory, Co. Kerry, Ireland",https://www.splashsports.ie/,087 277 8236,5.0,6,ATCDNfWEMOgfk054UpmksofZM8AKJFmWrQ_dwETc4Mim-BKaJJv-ChzXC7jHeQtRqckVzHN_lEniXh5wvGXvQWCHA3Nm73hievfftkrYyuBYvSLYxz9UdB5yOm3wnvOM5L-zcyTvCs2lv3lEfmxCWG2yI1Gm8f4eZt7aaL0u9NqxHsVFbMC6wGb-KlnE0yUnvDPfNQrdKgtzRnWieZgIYI1vnRmxHJSUd-wznrbgi0OKa3FtjQNkrkuZm_L5TbplAaB_F5T3uCSJgC0CEa7wK8uLyow4vkm5m8JPwem_Dsv7KjSi6Q,not listed,yes,no,yes,not listed,yes,Monday: Closed|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: Closed|Saturday: 11:00 AM – 7:00 PM|Sunday: 11:00 AM – 7:00 PM
Cavetown Lake Sauna,ChIJ2wZbWQCbXkgRjYp85lrwBK8,Roscommon,Roscommon,"Cavetown Or Ballynahoogh, Croghan, Co. Roscommon, F52 N290, Ireland",https://bookwhen.com/cavetownsauna,085 184 1067,5.0,21,ATCDNfUNkWig3O9Z0utyK7t4yZ6J9H9aNITsuj_cgKhcZulNFh1r_5lg8mt6vKyJetbYVJ6WAXKcBHYGRN2YbKIsKNfr2JD1luvBLdLMiuoFuhOp_0VLpsq1T2pOAve_-6IuvktOFspY4C22K9d0h8L8-NQ-_6h5Lyw-IpPLRzmMp1GBn3DAZeAXVDVVg9FK3YqoxPoHW6nP_mUXkrHyT3iwtqjcv_6Si1ALzquvLnhMcBubs8lI-H9BIMI_6Yn78G_ONwXgg7k7TTMSvlmqJqXs7oH9rOG1J6-DfCeAND53jNqzK77A6y5lsPwCQahuA0sQYF3c7F0NRmUl6zLncC-b--RzTMvihrgL1hJC5SX3LNpikuuybSdH0YZ-VtpS3WOmPZr3g_l9hEaluKrQGVrfnLtV3EVTRqlg2KVBLqRE84WHCa5zklHVb-aOZ5Vm1TRq,not listed,no,no,no,not listed,no,Monday: Closed|Tuesday: Closed|Wednesday: Closed|Thursday: 10:00 AM – 6:00 PM|Friday: 9:00 AM – 6:00 PM|Saturday: 9:00 AM – 6:00 PM|Sunday: 9:00 AM – 6:00 PM
Cedar & Steam Sauna | Ballycroneen Strand & Guileen Bay | East Cork,ChIJg-uuHMV_Q0gRLX2m-H7WJE8,Cloyne,Cork,"Ballycroneen, Beach, Cloyne, Co. Cork, Ireland",http://www.cedarandsteamsauna.as.me/,086 124 9179,5.0,47,ATCDNfUloc2xJyKnk7530Tf3urMjQMEN86JzDoWWGOMUlQ0iy49thRxlEXr14NbGQwsI-ASWGH0NBEPSWz5W5ChpwfYCweU0rSjNwj9drUsNU2b8ZNA9fuzx7E5UILe_QFbqbp_jO8qBL8kiaqI4g8J8nZTzCf-pfa37Fb7hAUfvqSIvigwSNyNOYU2fsdFVH-bw5m2ckO7-uQB8Vvh5rP9O-35TlLhm27A7MZqnkvWlMN0jot4te8P1hJQ6BQs6CD3b7PbqdomP7s-j45gM-7pHqFAoBHHbyruihRfhRvsBTgLZhw,not listed,no,no,no,not listed,yes,Monday: Closed|Tuesday: Closed|Wednesday: 5:30 – 10:00 PM|Thursday: Closed|Friday: 9:30 AM – 10:00 PM|Saturday: 9:30 AM – 9:00 PM|Sunday: 9:30 AM – 9:00 PM
Cneasú Sauna,ChIJr0isbwAFaEgR30hiqq9K974,Wexford,Wexford,"Garrylough Lower, Garrylough, Co. Wexford, Ireland",,087 675 7247,5.0,10,ATCDNfW3r4nbhTNrVMa6s1LYTZDrnQvMb1B7v_LZvIZ4qHb4qxX1uTzhalObJbmBQaMtFFEa_Sv3znFNblzRUc-g83pHCle_uE-NxlWf1iHXPtqsZVY6jfOGImyck4Cl4hDP5jcFliSAgskFvElyj7t2Qq-QGs9ouf2DopOkgo7DenKSt9J7F2dmTfRDK963zrqr7yoUFy15QxgjkA4xddyIgu2x3vQS9wp9kakGlVWFQPSTVUs3yHuPyfSqXrLzR2tz0k1DUNPf2-Tl1vibvaLDKAkPXyG5zT0qEN-R1xI4y2ObpSayczA79348KbPPd-54D_ct6rS8eDTcDJ4pgIXQB2rp9PyuNJhUMt1s7kn6AfLbm5PpUViCYTgzoGrfAK7Oa_ijukUBnJXpMNeu2oiErS9RD2GAq3_rz4kYpBkTsmu6BE1IIHwWaU3O3CpkMF9X,not listed,no,no,yes,not listed,no,
Coastal Cabin - Beach Sauna,ChIJiyYV86h7Q0gRHLZg9Tlt3JA,Garryvoe Lower,Cork,"Garryvoe Lower, Co. Cork, Ireland",https://coastalcabin.ie/,087 718 0002,4.4,21,ATCDNfWuPQhKyihbWGo40K_ujmp_bdSkzK5w5E266rJuyofhTEviFNgHc97kMkvMBBIRh6059sNUrKU3K0_-sAKHEvhqkkN6O8ZXspoObZgYv76azukpMziGlBQ8IoeaEQ9Y-p2nsVlFQbq7qHNTRxhQI2vJ6hLSWFgNF3-xSPzTkjwGPTyXIMgjABIusPjcjsSX4USF_ztcwGyup8d25_KGg-CRr3az0akw9UswjNJC1LCrrjO-t_hkhkrrHsct-DTySQm6p6wXKGRhXz2Pu-FjJajWFlnSY37bDvzv1whuMaxVTcZ4EU_83KUOzQkIJ5DkMCPMF3zXSgTr-osAUmZUT7hTUZvXTM_jLt8jkE-w-RHCl45VTilnwU9VUh0vAlb3g4caPlf_UgVnAY50EvkZk97Kzm1ldgFfvJ8IKwfe-4sF35Q,not listed,no,no,no,not listed,yes,Monday: 5:00 – 8:00 PM|Tuesday: 5:00 – 8:00 PM|Wednesday: 5:00 – 8:00 PM|Thursday: 5:00 – 8:00 PM|Friday: 4:00 – 8:00 PM|Saturday: 10:00 AM – 4:00 PM|Sunday: 10:00 AM – 4:00 PM
"Coastal Roast Sauna and cafe, Garrettstown beach, Kinsale, Co Cork",ChIJdZfJnnZhREgRo2RQKLFRv3M,Kinsale,Cork,"Garrettstown, Kinsale, Co. Cork, Ireland",http://www.coastalroast.net/,085 732 0525,5.0,35,ATCDNfWzRPn5vI2d9_3cjSKWAYo9IR1oHlwGlLuV1R8DldrQtWffzIFrQgCNW4IAYnSOJn3amqvXbPAwENrh8rp8tqeY24jbhO-cs874bsALOD7tC7SPeRTRD-Dv9iT_WcJAzLvOeO2JfPEtG7RdVMGHdDoyjYWrEDtHX-8ep699gJLsUuBsrnP4SiG0wxf9-J5rdCjxJlWFN4QtQ59Q1-BXKPwJrjx_fc4Dkb6nqlCtN5Uy90-6kZs4v6xQGcEWQPoQrZ-jQ6DwqK2RoxbvFD8r1SrNNmNnF1PjE3dP-DkCMmsQQg,not listed,yes,no,yes,not listed,yes,Monday: Closed|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: 6:00 – 9:00 PM|Saturday: 9:00 AM – 4:00 PM|Sunday: 9:00 AM – 4:00 PM
Cocoon Sauna,ChIJqS-XSh6BX0gRpGsh_QzfODs,Portnablagh,Donegal,"Pier, Breaghy, Portnablagh, Co. Donegal, Ireland",https://www.cocoonsauna.ie/,085 111 0524,4.9,33,ATCDNfXPY3Jd9tWX4atN0PRmimsln6xcrX5T2NBa0ja7qNV1APUzM6YhnjaIFCTuqYK6TaX-9JhBtSUtIiAbj--70tOLmCc_BHyIe4pg2ZJyfgkWs5DKTK4TisHgOtbUejtA2foY-f2cdt99OCQi7Fk9M5PmEhI6fuRA45PkUZuvaE5YV6VpveZDuR6S2YlWo4PqCfIXF8vodR9gdbwUc6NJHwbjYdTM6BDiu6TnL3BlyDxJo0KWZ9gX85R2qcxIyY3Kxg8afZVV_imyK4GHokHY065kZWj_Y4bz91CDQyLTCqlDcg,wood,no,no,no,not listed,no,Monday: 4:00 – 8:00 PM|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: 4:00 – 8:00 PM|Saturday: 9:00 AM – 7:00 PM|Sunday: 9:00 AM – 7:00 PM
Contrast Wellness (Sauna & Cold Plunge),ChIJmeeieiz_UyIRwSspfZy6vaM,Athlone,Westmeath,"Contrast Wellness, Grace Park Rd, Loughanaskin, Athlone, Co. Westmeath, Ireland",https://www.contrastwellness.ie/,087 978 4151,5.0,100,ATCDNfXnTP-qI5V7p0qwTmp7VsYzLNw8Al6ZsrIyNT2miQNcSOlkXicw6qQiSnBHUC5n_08kw5wH_Jorj76mgi9BkNLEXxCmdq9mnddeaC2zN7nqPGgsPf1K4OrJ3-K29q6D48hdCs8gaId4g_u84iGilXfpAvbdBNQzixsOIIFOffKNn5KIjGfLeob7vKopZ_5nIkMIs_Cgk4wcSNEdLzrQ5uKPpAaEnDLZmQPfe1MkSBlCMisrA4I0PZi6M_cF4p-bvbt41eYvXF2qUeUqIHrdhS3lmsjRW-IQqhJCQH2j0AFP8g,not listed,yes,no,no,not listed,no,Monday: 6:00 – 10:00 PM|Tuesday: 6:00 – 9:00 PM|Wednesday: 6:00 – 10:00 PM|Thursday: 6:00 – 9:00 PM|Friday: 6:00 – 10:00 PM|Saturday: 10:00 AM – 6:00 PM|Sunday: 10:00 AM – 2:00 PM
"Copper Cove Cottage Romantic Lakeside Escape with Hot Tub, Sauna & Kayaks",ChIJdRLrs3epYEgRbWyQoJf8iCU,Cavan,Cavan,"Drumlom, Co. Cavan, Ireland",,,,,,not listed,no,no,no,not listed,no,
Croí Lán Sauna,ChIJyw7kYwCnZ0gR5Gcypqxh--g,Ennis,Wicklow,"The Bog Meadow, Monastery, Enniskerry, Co. Wicklow, Ireland",https://www.croilan.com/,083 889 8239,5.0,26,ATCDNfWfgrL7wfjHXAVMDgoK_7H1RCVcq7Ax7sy9lQYydB6HWXw5yKTWKSbPSMfHwwStQwDwPQz1ZVM18ESci0j8auvvGW2Gs0qTdyGucsFwKWMcEQ-_XS5TMCd6COVt7cTtbmcoA1BR_dF5NIhzzft44CKULmafC-ogvZ5tfbUvEs_YxA58GbKl3PtVgR470CKWSQbREdlrVITX80545m3M-Eks3VqCLRd2o4zs2C5jveHtoAzTBNlRNuqUgvFVJarRKmSBjJiOdKh8DEcXffCImhghj_glzcUMpise_tdTgrUmFA,wood,yes,no,yes,yes,no,"Monday: 5:00 – 10:00 PM|Tuesday: 5:00 – 10:00 PM|Wednesday: 5:00 – 10:00 PM|Thursday: 5:00 – 10:00 PM|Friday: 7:00 – 11:00 AM, 5:30 – 10:00 PM|Saturday: 9:00 AM – 9:00 PM|Sunday: 9:00 AM – 9:00 PM"
Cé Sauna,ChIJD8s8VgCRXkgRUIP9gw-xW9Y,Roscommon,Roscommon,"XQPC+66, Knocknashee, Rockingham Demesne, Boyle, Co. Roscommon, Ireland",http://www.cesauna.ie/,,5.0,11,ATCDNfUI_B-rtD4rhlvLzhX4WxxEXJgmvXVgpmbiUto6KekwyMkHhJv0cnZoh_tas42j2sXvr81aozhN-sYxsEkjJ4_jMhxD0yd2BkY6YahKjpVS20v1IIUqBlgVRFr4v_S4_nfjWmlGRnlYaGXIiG_HrkaRfaNUerToBRXe7SODqOpcLMz6W1hX-4Hvrzg68OAyjqF-k5EjeXe10B3a9W2M-cvfgOTAb8uwzhvb5AcVMEa4nltuRmAhXC-FC_hfmcXe-R1TJkOIK6qc3xMKntZ2uNzOyw4i8zBmKkcvn-KSxSWp_A,not listed,no,no,yes,yes,no,"Monday: Closed|Tuesday: Closed|Wednesday: Closed|Thursday: 6:00 – 9:00 PM|Friday: 6:00 – 9:00 PM|Saturday: 10:00 AM – 2:00 PM, 5:00 – 9:00 PM|Sunday: 10:00 AM – 2:00 PM, 5:00 – 9:00 PM"
