name,place_id,city,county,category,address,website,phone,rating,reviews_count,photo_ref,heat_source,cold_plunge,outdoor,private_rooms
Hidden Sauna Bridgefield,ChIJ3Uc3rBR7Q0gRmyqu65VOjDQ,Co. Cork,Cork,Leisure & Fitness,"Bridgefield, Castlemartyr, Co. Cork, P25 PH93, Ireland",https://thehiddensaunacork.ie/,087 676 2131,5.0,110.0,ATCDNfXnTQG6CnprbCPW6nalG7M9libpIh2H5aKHq8hICuu2gCZWuPfzSoCzxQdQDJNQS-2yrBEVlCXY0s7pvcy0R-KTZdMttJ0EzPs5gAkgEDadZaYQj5fX8AN66GnXJi4hsXdEIeC2N46-3PTmedPPIFDTuawM1d07C0WTABXihuuNxrcsyEUnheEzlORx03lLi-cMQHbl1Jpqxnf1ZloutIrlq9HRwXWf6GYQK-TBS8ktpg-YD3SKgo_rIxBM6X3MI-77zybqcEEDF6e2cKFIYOmCAgiFy20sqYxZJ7armWrtQCb7uFnMJpR4nVd9yOEOp5bGesLdsuCXdb5z6cJAC13WrebNNwizfvcb5ITJXxspU-BrIAS1kKtkOPl4fTcnahARjt49H-3nyD_VALexIjAuXN3-Eoua-23XcPF-MC8bjPEl,,True,False,False
Sauna and Sea,ChIJGcCdh1ojYEgRr024vnLQNCg,strand,Carlow,Dedicated Sauna,"strand, Portstewart BT55 7LY, UK",https://saunaandsea.co.uk/,,5.0,106.0,ATCDNfV2ogSBgoLg8MW8f_pzywP8dMTrG_IvZTeFEch8JVhlMk86IZog-ZXEso5vekBiKehK-ad5-k5Z5bjMK9AcVIpy1YjYRku45dWhNv_RUW8ZaWSuOQYvMzTVsyL6R-krIwRR_2nb485BYQ-B87JQhEW8kVubzaWVxNQtz8SKapcRD_o0dR498f7fkDnCYdJC-Q4bCVEVVYV5s0KfFGvzesMQOwzFYds_ZlX5F8DSDlZ6SLlMK8zqkByQovGpkyNq-UMU2PN-RauBbheyXOd-dJ45r9j7ahjS3lKfOcg_uA16bg,,True,True,False
Contrast Wellness (Sauna & Cold Plunge),ChIJmeeieiz_UyIRwSspfZy6vaM,Athlone,Offaly,Leisure & Fitness,"Contrast Wellness, Grace Park Rd, Loughanaskin, Athlone, Co. Westmeath, Ireland",https://www.contrastwellness.ie/,087 978 4151,5.0,100.0,ATCDNfUdQC7rQj7suOPfBmAiV0r8JGayCl6CajKMurqgvNPAzQxcXzxlWvYCwpRht_I3qQXDLjPf5W9N9aqw5uM2uINGDUwxDMqDQpliZfOgQLZFtQJiIoh5oSpo66RP7DG3rUqKy8VhynNLP1kfDEDQ_nqHsOyXPWM-o9yv-V3rF-H-HragArYaJcieiXwHv3j9G9pr1eQJHIAw18j2bGlwIN_puFXu-lXZN_viREiW7iXtU1DtKqdXVVm578-iG7qMd5y20ShH91a-Yp0qKF03Ijtu9zXAZvSFU5t9w_jGb36wZA,,True,False,True
Sauna Ice Balance,ChIJyTz77sj4taIRZOD9fbIxeTQ,13 Central Promenade,Unknown,Leisure & Fitness,"13 Central Promenade, Newcastle BT33 0AA, UK",https://saunaicebalance.co.uk/,07702 298538,5.0,96.0,ATCDNfVG7VwWB95UCCI4z3k_2Y7rfdVQVHd7seBLxXkD9i_WL6jPz-LCSUtn2_h47DJGcwPL3G1iRMfj-CKRPCZ10uayk1CFj722GouL-57PDNRWwgRZkQk51f-w6EW26V2Bz7IP5CmWLKouniGGd92P1Jkf4a34qNljav1IJcudcAEHHLe9fMo5wY2IOdzKoqQQ-_mgV8AAT-H9MecRcU5f-IoFTVyLMKw1SeUzLxByreFX4waJiUKhSJR_ilMGWVP8VIt6D5ZQCdr2qcSnTb1m49GlxV-JqIA8UC4odD4zVZ6tbA,,True,False,True
"My Haven Sauna, Oysterhaven",ChIJB2uI34VjREgRAo5kKtTuauM,Kinure,Cork,Leisure & Fitness,"Oysterhaven beach, Kinure, Cork, Ireland",http://myhaven.ie/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=6853665662078849319,086 772 1444,5.0,93.0,ATCDNfXFVTM0tgl_Um2kf-u6WZyDjyAHuxUoIzCVhiuoxdjvoQc6NlOlAvre7fJJjO-Lmy2S-5G9S9mfnOa33mto4IZKq42ehZeLzlWcpj-9NIRGf5Juz4GXJEe_f5jGYQNxhZspNTffUu9WkLxvHSuMBqR4QcuNg_jyb08U7dYmcf99-bIQEQN7cU79Ea9YNhDEYK7AMTl029GOO8vZFkcwt398H4SpPtcdzp23vJT_l4NKxLPBjnsRH2Fni7PNNiHSSuR7Ce1S5AOemtlRmccTDORSXS5N1uc60bx6nPulsrev7Q,,True,False,False
Sol Sauna,ChIJAdE8VjZnXUgRJJUdNEzsdRk,Carlow,Carlow,Leisure & Fitness,"Strawhall Industrial Estate, Strawhall, Carlow, R93 RX88, Ireland",https://solsauna.ie/,,5.0,92.0,AcnlKN1Yi1T1ChORS_6BiP_eoHvU_RlVf_nxe5dXV-9nkw_BcDUv2BBlIzyo_rMxPkwIrZC8T0w_ihK2x0EX9R3Mca8HaUVUxDeINGmZgDGxotu6uwZc1c0I1xLBeyqTBQcgSH8ErZpxplwEqRMnEGQvWD6-lzwbe1H6QTgFGHIk8cqDy4MEdc_hDBRtKeT7sPaeRmV1_6jXlchXqLezvaJgrCTQrAmmzxWK78x8cpdzOU0c9hZj0TJlEw_CJXocnERlBwm-XNFDyl1c_BdDStPU17_vhi3g0EyhT040Ve65-L92Gw,,True,True,False
Spir Sauna Sandyford,ChIJTzo9mCAJZ0gRBnlplFufOvs,Dublin,Dublin,Leisure & Fitness,"22 Spruce Ave, Sandyford, Dublin, A96 N620, Ireland",https://www.spirsaunas.ie/,086 324 3506,5.0,87.0,ATCDNfW63HgTVCGDxwxemGmivHCRHk3kPEXfZFxSwFU6oOycz3a_Mqw4yhWIcurzG0A7HidO7gHF19GiYJhbbWIZ8y_RKTyzy0aifLOvlc6Nm1ONM5V8umzkZwysr8xq8BaMmFsN3RBffrZ8ZuTgdyf5wQgH8X7VPcvvL7PybLnQ1IdppllsfPrSNxnrTPR6D7Xjc5OTDbsL8sR8YyVUwffVhceXOvMk4AVEjAe5IHzwSu5nLdqsbB1fhbwtP_iLKtgpyQA1wRSjlIyn1c6bsIoHYpJSLF-ajqrX8akjyhkT4FPvOQ,,True,False,False
Sauna Sásta,ChIJZUXSRwDFXkgRrTtMUUGZDj0,Sligo,Cavan,Leisure & Fitness,"Dunmoran, Strand, Co. Sligo, Ireland",https://saunasasta.ie/,083 330 5897,5.0,84.0,ATCDNfWDJaAVyQSsAruuPLID71YMafREkhM-Dwk24u6vp4EXIjZ50LaRn-SGlPHgQsUcNJj4TQXZ6If5yRY1QpRcTI52m5p1rdR0i5xGrbBewo8iK8h8-09YnfCSv7yFO1sH5eXvBQFGtOItw76hSVwYXLTvnK-6H-o3cUm7ZxEHq9i8Tav2X2g88xFbJSLEimKscSTkQZRFuhfFtjf14_WG0BN3zTTEyZTH3m0N-e_IhgU5pNmFzELb0cMmcIjZ8FfE51Fa5zCh_ulCIbnRpDvAO1Xe9UWzU6LB38Bf805eopNRsw,Wood,False,False,False
Fad Saoil Sauna Blackrock,ChIJL_y7JQAJZ0gRgC0sAGxcMFk,Blackrock,Cavan,Leisure & Fitness,"Rock Hill, Blackrock, Dublin, Ireland",http://fadsaoilsaunas.com/,087 359 4664,5.0,81.0,ATCDNfVI8QCLhCdehU8ScEP7RSxivFZnAjlHZZRB-IvVgPGAx3Kj5akgmOkZHZ0UsmtmR79LdLvXxm5u6kD-ErBrIClkfFi-9sjiArJJb23d819n_1FevRLnUhJnbtgP1hxDoJKB60PKgUewPwu2evfWv90zWAT9OmErSKwsF7SE6_m1xYHasrYts0Ne7koD0d2w68aiv4Zo2rH7mAuIbIKlTOBQfMr7gkM26KsamIrcYCPfS6kPABAUn8fqjqeXZiXvNS3l3OJlEawkPtFTaeT29bQUG9DMhe2dArlSFl-QpjpUtkUnd9ZxH7warzSuj6VEkn9xXjE7tGWjYvkmupVWcAfquPf8dsZJ963ETst-9I3808Dw0Co3iKU7Og9pLw9z3RGkifWfdFf1sft61gVacEmQJ6DaVw9hBhvVnBMo1wANjMxONTQlp28ScSZhWkmx,,False,False,False
RealeBurrenSauna,ChIJa1ZndtidW0gR1Pc-s6pYalU,Co. Galway,Clare,Leisure & Fitness,"h91kv4h, Moy, Kinvarra, Co. Galway, H91 KV4H, Ireland",https://booking.easyweek.ie/reale-burren-sauna,086 813 5372,5.0,79.0,ATCDNfX2j9RBCczPfi-BzpD9zauji3_pO9jcsSl2yHx1sF5Q_97ls_0zYvFsGNrwCKMlOIuYCogJX-my7vOt-F-yJfQ-rXF83FF2qV0Sbl6qOPUJSgD5IWWHxhYiNwCmrvwUmDNxC54Rqvz7GKiRnZbCBBAGEGcnBHX5zNpNN5jpz91NsC5hUo_E143NBrSYkYQBgOa-usyY8Q5x5i-Jkbk-V-6X1pHab-HRBHkz74bvpTHBhI5PtmSVk9eeaSrCo-apnB6O-nx6QPWXWYTN1mFRGB_aqn0WgpVPpp0DRqKIqzr8Cg,,True,True,False
Sauna Suaimhneas,ChIJk5oCN24BW0gRFAMoA66ILJo,Lahinch,Clare,Leisure & Fitness,"Dough, Lahinch, Co. Clare, Ireland",http://www.saunasuaimhneas.com/,086 201 6749,5.0,77.0,ATCDNfWk4Ntcipv7OD3w5XbWW-9D9k7N-BV43iZbG_3WBgA8VeQR3Djg8GhnWcN9S7RcCPn_IRbwnUrIps80LpbxSuvnv6d74HATJa89Q-di1ZJ5v60G64RmdyC8pM4otxupxEWtD9LMBOzuNeMP_7dOEomy4CFOt0YdWhUkcmzezQKEp9AgTV9MUI1u7hg7iVVU_MqxkRVaE2xd0gruSG0g0C0rhZ2lZvtao75uTdEMXTFQ_rrSuAUx_jPu7eUvhHDVB-LSrwyzY3Ra1Hhp3TJWU0zu1X8ehhf9D62uuYj6YdS6486NWbdnTe7sSnJZe0ZedGGOMMQzMg-r-0HmnW3eJCRk1X6CuaVtlgYRmbsA8h4Quw7orNL8ZtvVOpWVfB53ZR_M5WsZwQGy4eF1hSr9Rzoj1nXc9Hsv-WS8N-YjUy147Md_xs-6_mW3nJ0nMe_Z,,False,False,False
Wild Atlantic Sauna Dooey,ChIJNzZWsg71XkgRXZ7IuOSjtq4,Co. Donegal,Cavan,Leisure & Fitness,"Dooey north, Dooey, Lettermacaward, Co. Donegal, F94 WF54, Ireland",,083 847 7373,5.0,69.0,ATCDNfVDMu0QVBjyqL-mteJAxvFEMj8F_-55eQEXBspsJbJuV-NJU7EeTF20LTbDO2WPK-IqxvZuSE58BxvXGYWGvcn0KvZtdPYIj-pJ2YPiewH35M_GhUqWLbnGAR3vbgTBtajNh3kVFqvkNiLQrNiyWwixnXIvx7L6Ya0_CVty3bDXWq1hdTe5UvpwhHpLXje1ITL0DkWE9ZdGZ3qY8FXsc6dIQa8bspCVZnn7GGrAc0gIL9vN74dc7E0COk7-VRvX9J1AjlBM6JELGDb1wPtpGaMd5NG85FyCWNrkVq4chw2xtq7PSpZ1NlM4AthmKYuiBzBrMaDm67duinwnvkKTb5r4kFMDT-52bz_2_B2ZvbQ-OMX2RoQfH7aivMyTzGGFdFtpSEO67OqJ18mYDflfE_j6aZx3DP_lUrlhaZGNR78cbOVS,Wood,False,False,False
The Sauna Donabate,ChIJmyqHcwAbZ0gRUyF5EF8AjLE,Co. Dublin,Cavan,Leisure & Fitness,"Balcarrick Road, Balcarrick, Donabate, Co. Dublin, K36 V064, Ireland",https://flutterwbdev.azurewebsites.net/?fbclid=PAZnRzaANxtupleHRuA2FlbQIxMQABpx5rg07p7c5_cZy3m8eg9I8_OPf8KS3Uia561uQP1y4yEEKWHGCfDpcUEJC1_aem_O5mF3OhvznUujvw8lxCFyw#/tenantDetails?tenantName=thesauna,,5.0,66.0,AcnlKN2z5EkU8CdCqf4VZWIH6-aSNhHhcrjLfH_VxlTH4QLu7ot2g8GavxJ55xlaO0JmM4BCaL8TKlgjkgFNqF6aIkiCmzfVoWUDSMypNJ2vlrrZTMsi8x6mOE_VG_VZc76KWVk4rfKg-lku4mdmOJgByz-M_25I8mw31BBCs5teFY7Yix9cprzfmf0urIvPTPLZxYvbzJeNuBEUCEg9eWQBBZQ776zT1Mu-2GJ-wo8FdYptE-N2cwd276y1C6VTwRA-KVhAzuAKRp-0kcVaWTbtHYRNAcMIIU-7NlPTDCtT9uHIQdnMrNW41pEwQasJ-tpqYamcr_keY_pXmp5KXNtymjAcNQU3Be3e--UCDhuSbK6O36RMCNPSxc9UDPIyp987azprw0-nWMsSCl0nl9ak-mGBgnkk8Vakn_p4WYJsHzDRCH5q3B5BLhnJeM0rWgtl,,True,False,False
The Sea View Sauna Culdaff,ChIJLzE22SqpikgRfpKC31GIbrs,Culdaff,Carlow,Leisure & Fitness,"Knock, Culdaff, Co. Donegal, Ireland",http://theseaviewsauna.ie/,083 441 9841,5.0,65.0,AcnlKN0Dks0EHNCCfxQAHRp_OWB9LFPxSra8eQI6JtfdPiFCxJwLcbfBv0iYbrM3YVyfXUxvTxpMraOrMYmaYQOGRzt1t0QPzxNoUeczTx7Wg9VqoOxf2N6MQru8Ua7fG2-atcvKTG-McKLP6V5gADh-OubzhMQr9-YGksociT-ZVtj15b7CV30iSy8LvfA1bmLTCSD17oFwn2-sViTm4GoyptLow59gRHZ44a7psHby0p4ScYqMTX14GRXBo34U6PBs3Aquc3ySzuCAwDGKUhAVNZOZGrRa-3WqWLm2dvUy_ZtBKg,,False,False,False
FIRECRACKER Sauna,ChIJT0XzwLR3XkgRd9yw8zvVO9k,Longford,Cavan,Leisure & Fitness,"Leebeen Park, Dunbeggan, Aughnacliffe, Co. Longford, N39 WK74, Ireland",https://www.firecracker-sauna.ie/,,5.0,55.0,AcnlKN0YXZBxTrOC5TQ_vLFrTMdbgTZW9eZCdNPMJughiLJml86DZhBZtxFyFCJhIgXbS75DirxJ8Y8LM3Bj_mnlROg1rvBbnudKYy-4wciyCb3QFGLP8k3QuMlaB-7xY7J9FnUH9JLpBAnv3Y9ew1Rt3yh4-BIzHJBrWSY1c48zEqFlbp1ulP2gMEGQn03eTU21Tsszig3ncHZROAUo5hg6hb3ElOdcARNdyYHkeJyQ1U9rRXzOEoZcfkgJNsnNAjgdFZSJTHSHPqN-bs5K60l8teN-CjxoodmeJ5xlZKpmRoI,Wood,True,False,False
Fad Saoil Saunas Kilcoole,ChIJYeIUdrWvZ0gRnO7Nczd36qM,Wicklow,Wicklow,Dedicated Sauna,"Main St, Kilcoole, Co. Wicklow, A63 AP93, Ireland",https://www.fadsaoilsaunas.com/,083 343 0440,5.0,53.0,ATCDNfU2ss-wKE3k7QVfSYJZg87Cp7SF5fkkBKmV347fLqYI04FUKXyQBOVZQcAy8aPKEDbans_cr6dQcpuFEtCbVwLz_GAvsns4azOlX74XcBfgH312ThAjKOAj1CBj2giYqCRtroKUXcdPJimF0cvHsJ_Vc4cJ_E7hZVkbfBdARsXS3J3ddzscyEl3Yqqp3GeihwbDpGwkWoCySOeOIShPc9haMS27igCLQgZPhrhfa1z6xdITfQ6si8e0cj8LFxiPE8afSxg5-BEc9StPDZRh16HlyYRMWpTil2xc0e0diyjz_s4FJI6VDL_o_SyMVwhlUu_kfevdLiwfgumNnpEtGHI_W2xaLC1sPuYDBLMk-qWU9AIO6oR9e9e0NRmfQlDcxspsChXuJVUdzetqbSWhn2C2Za4ycoLj-I5Oo8X1L2TRytXO,Electric,True,False,False
Blaze It Sauna,ChIJlYjnmfnhXkgR7_kiGEtBKL8,Sligo,Cavan,Leisure & Fitness,"Mullaghmore Pier, Kilkilloge, Mullaghmore, Co. Sligo, F91 AP8H, Ireland",https://blazeitsauna.simplybook.it/v2/#?fbclid=PAAab2Ns7W8oEiVMOzOlT5fnLYfB-itO5T_Fq4kfxK2pRpXQzpj2sCB2_8B8Q_aem_ARL7jfnx5x2lUxSxnvcC49fLXLrPznj74iBvatD5o6AVUaiqwSWj_N56EDsXPqz1qis,089 239 7243,5.0,51.0,AcnlKN2ypj8T6g7uUnAwtwaNN9HJQZJt9sLi_GUdRbRXp3LIbgT6V92PZV5DkvPmVtdZmBvntZfCXYBpXi0Y-OFJaDWzNSsfELlP5YqyREdIVFEXsQ0yr81WnXgoEzvYln1fTmBqeV8sS41hrQSYfRRvr_oG3tJFQqiOfttFSyqd3uHa_ANuRIyxWC2LSQKCU6cccCA4hxAxhLSdc8QR7sWok0cQWnDbIXFCgnu3_BieAW_ImzRCyO3aWPjYnGJ74T1AQ5FFqeex-jNNXmSyrCXLSchy2vVUKb85VS50khSkFozInw,,False,False,False
The Sauna District,ChIJ5ZI3cpdtZ0gRNR2TdItzcHc,Co. Meath,Dublin,Leisure & Fitness,"Rooske Rd, Castlefarm, Dunboyne, Co. Meath, A86 Y750, Ireland",https://thesaunadistrict.com/,087 338 5534,5.0,51.0,ATCDNfUE6sbE-U3y1qMEKtBmXG1uUsE5Q-Dgvez5_8hnjPVQLGcIJd3ES0XxYQLf4iqIJoyg_VS-fJBWQweBP6r7gYH7lcZYLwjU3-kTW1nd7zJlrDE6PmYGTC9Uv2BmHQYJIX6_PlkKzhBhCkrfYyJ8lVR4MHbvKoWhmqfoGVSjMUxxjdNJzi-MOVtByLPqdiEib54-pSwBk1or8rbxzKxX5kAJkunG47mMQTXqDE5hNwfM1YIwYvgAYeSjRgJtSMSImR5g99T_erdfUUrXMZzdZzJ3yhVxALlGeVKP301dCYieGA,,True,True,True
Sauna Social,ChIJ48HBtXLDQkgR_TInQWoOFsw,Coolgower,Kilkenny,Leisure & Fitness,"Tramore Rd, Coolgower, Waterford, Ireland",https://www.thesaunasocial.ie/,,5.0,50.0,ATCDNfVWM4VKCJ8rom6ixB4XlmNg9XEiM_YpXRok7ngVKXhJEXpUZRh9VTa8V1F-wEaKWDTiku9kPF2PMkYc9gqccwEhfYIWid0qB76nNTBYwiiB9t_Eqv777g_c3_HTwMwEmYW2Z-ZmYj-b5SmZVirVZoPeM9QgOqK6Xynz9_CMA2xJsDzoKD4CeLLYL_YBqZUPByu0mrHex9aVlkwN310SqY8l3__ZXqf6SvgPvmnGJjZ89JItLpzitf32GE2-t0uf2bN06DUzxuD3nW4ouqUfo33FaDSiiLsSArrAyTOANGgUMw,,False,False,False
